label,message,year
normal,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",2015
normal,That seems unnecessarily hostile,2015
normal,Have they been agreed to take a product from you?,2012
normal,"Well, I’ve been thinking of switching to an industry that has at least few decades of growth left.",2010
normal,Anyway i'm going shopping on my own now. because my sister not done yet. Do not disturb you liao.,2010
normal,It is for nothing that I have been trying to find.,2010
normal,Ok... U enjoy ur shows...,2011
normal,Yup...,2013
normal,We still on for tonight?,2014
normal,Dear got train and seat mine lower seat,2014
fraud,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,2015
normal,Haha... can... But i'm having dinner with my cousin...,2011
normal,What's a feathery bowa? Is that something guys have that I don't know about?,2013
normal,Networking technical support associate.,2011
normal,"Although i told you that i'm into big face watches now but i really like e watch you gave because it's from you. Thanks for everything that you have done today, i'm touched...",2010
normal,"So, did you too fail to complete the paper?",2014
normal,Thank you so much for sharing this information with us.,2010
normal,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,2010
fraud,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",2013
normal,"Dear,regret i could not pick call.drove down from ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",2014
normal,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,2015
normal,Same. Wana plan a trip sometime then.,2012
normal,Got it! It looks scrumptious... daddy wants to eat you all night long!,2015
normal,Heehee that was so funny tho,2013
normal,Okay... We wait ah,2013
normal,Gud mrng dear hav a nice day,2011
normal,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",2011
normal,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,2011
normal,I'm home...,2013
fraud,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,2015
normal,Er yep sure. Props?,2015
normal,Oh... Kay... On sat right?,2012
normal,Of course. I guess god's just got me on hold right now.,2014
normal,Remember on that day..,2013
normal,"Goodmorning, today i am late for 2hrs. Because of back pain.",2013
normal,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",2014
normal,Thanks for sending this mental ability question..,2014
normal,Dunno he just say go lido. Same time 930.,2015
normal,Cramps stopped. Going back to sleep,2010
normal,5 nights...We nt staying at port step liao...Too ex,2010
normal,"It doesn't make sense to take it there unless its free. If you need to know more, wikipedia.com",2015
normal,Are you ok. What happen to behave like this,2015
normal,Cos daddy arranging time c wat time fetch ü mah...,2014
normal,"Sir, waiting for your letter.",2015
normal,"Alright, see you in a bit",2014
fraud,"hello sir this is your axis bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",2013
normal,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,2014
normal,"Have a nice Journey, Sir.",2011
fraud,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",2014
normal,Don't necessarily expect it to be done before you get back though because I'm just now heading out.,2012
normal,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,2010
normal,What's your room number again? Wanna make sure I'm knocking on the right door,2015
normal,I'm really sorry i won't b able to do this friday.hope you can find an alternative.hope your term's going ok.,2012
normal,Actually I am worried about my final examination What about your preparation for the examination?,2010
normal,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,2015
normal,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,2014
normal,You getting back any time soon?,2013
normal,Ugh hopefully the asus ppl dont randomly do a reformat.,2011
normal,"Goodnight, sleep well da please take care pa. Please.",2011
normal,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,2011
normal,How dare you change my ring,2010
normal,I cant pick the phone right now. Pls send a message,2010
normal,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,2013
normal,Change again... It's a one next to escalator...,2011
normal,Oh k k:)but he is not a big hitter.anyway good,2014
normal,So:)no competition for him.,2015
normal,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",2012
normal,Ya! when are ü taking ure practical lessons? I start in june..  ,2013
fraud,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,2015
normal,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",2012
normal,When you login date time... Dad fetching you home now?,2013
normal,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,2013
normal,Did u got that persons story,2011
normal,Hope you are having a great day.,2012
normal,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,2015
normal,I hope your pee burns tonite.,2015
normal,Planning to start a new business.,2012
